Gene,MoleculeA,MoleculeB,Intact_Miscore
TFEB,TFEB,TFE3,0.53
TFEB,SRPK1,TFEB,0.44
TFEB,MITF,TFEB,0.4
TFEB,TFEB,PPP3CB,0.4
TFEB,TFEB,SUMO1,0.4
TFPT,TPM3,TFPT,0.74
TFPT,YY1,TFPT,0.67
TFRC,TFRC,TF,0.85
TGDS,TGDS,HTT,0.56
TGDS,TGDS,NCK1,0.4
TGDS,TGDS,PIK3R1,0.4
TGFA,EGFR,TGFA,0.78
TGFA,TGFA,EGFR,0.78
TGFBR2,TGFB1,TGFBR2,0.89
TGFBR2,TGFBR2,TGFB1,0.89
TGFBR3,TGFBR3,GIPC1,0.51
TGFBR3,TGFB1,TGFBR3,0.44
TGFBR3,TGFB3,TGFBR3,0.44
TGFBR3,ATP1B3,TGFBR3,0.35
TGIF1,CTBP2,TGIF1,0.74
TGIF1,TGIF1,CTBP2,0.74
TGIF1,MDFI,TGIF1,0.67
TGIF1,TGIF1,MDFI,0.67
TGIF1,LGALS8,TGIF1,0.6
TGM1,KRTAP4-12,TGM1,0.56
TGM1,KRTAP5-9,TGM1,0.56
TGM1,ACADL,TGM1,0.56
TGM1,ALPP,TGM1,0.56
TGM1,C1QTNF1,TGM1,0.56
TGS1,FBL,TGS1,0.56
TGS1,NOXA1,TGS1,0.56
THAP12,SELENBP1,THAP12,0.56
THAP12,TACC1,THAP12,0.56
THAP12,THAP12,KIAA1958,0.56
THAP12,THAP12,SELENBP1,0.56
THAP12,THAP12,TACC1,0.56
THAP5,EXOC1,THAP5,0.37
THAP5,THAP5,SKIL,0.37
THBS1,THBS1,FN1,0.61
THBS2,CFTR,THBS2,0.35
THBS2,THBS2,AP1G2,0.35
THOC5,THOC1,THOC5,0.89
THOC5,THOC5,THOC1,0.89
THOC6,NCBP3,THOC6,0.64
THOC6,THOC1,THOC6,0.53
THOC6,THOC2,THOC6,0.53
THOC7,THOC5,THOC7,0.65
THOC7,THOC7,THOC5,0.65
THOC7,NCBP3,THOC7,0.64
THRAP3,SNIP1,THRAP3,0.67
THRAP3,THRAP3,SNIP1,0.67
THSD7A,AQP6,THSD7A,0.56
THSD7A,ARL13B,THSD7A,0.56
THSD7A,CD33,THSD7A,0.56
THSD7A,COMT,THSD7A,0.56
THSD7A,ELOVL5,THSD7A,0.56
THSD7A,GOLM1,THSD7A,0.56
THSD7A,HSD17B13,THSD7A,0.56
THSD7A,LHFPL1,THSD7A,0.56
THSD7A,SCN3B,THSD7A,0.56
THSD7A,THSD7A,AQP6,0.56
THSD7B,THSD7B,AQP6,0.56
THSD7B,THSD7B,ARL13B,0.56
THSD7B,THSD7B,CISD2,0.56
THSD7B,THSD7B,DARS2,0.56
TIA1,SNRPC,TIA1,0.6
TIAL1,TARDBP,TIAL1,0.58
TIAL1,TIAL1,TARDBP,0.58
TIAL1,AOC1,TIAL1,0.56
TIAL1,FAM168A,TIAL1,0.56
TIAL1,FAM168B,TIAL1,0.56
TIAL1,PRR20D,TIAL1,0.56
TIAL1,SNRPA,TIAL1,0.56
TIAL1,TIAL1,KRTAP8-1,0.56
TIGAR,CASP6,TIGAR,0.56
TIGAR,HIP1,TIGAR,0.56
TIGAR,LAMP2,TIGAR,0.56
TIGAR,SH3GLB1,TIGAR,0.56
TIGD3,RALY,TIGD3,0.56
TIGD3,RALYL,TIGD3,0.56
TIGD3,TIGD3,PNMA3,0.56
TIGD3,TIGD3,RALY,0.56
TIGD3,TIGD3,RALYL,0.56
TIGD3,TIGD3,TLE5,0.56
TIGIT,TIGIT,NECTIN2,0.79
TIGIT,PVR,TIGIT,0.61
TIGIT,TIGIT,PVR,0.61
TIGIT,CD226,TIGIT,0.56
TIMM17A,VHL,TIMM17A,0.4
TIMM17A,TIMM17A,HAP1,0.37
TIMM17A,TUBA1A,TIMM17A,0.37
TIMM17A,DNAJC15,TIMM17A,0.35
TIMM17A,P2RX5,TIMM17A,0.35
TIMM17A,RIPK4,TIMM17A,0.35
TIMM17A,TIMM17A,ELOVL5,0.27
TIMM17A,TIMM17A,ROMO1,0.27
TIPARP,TIPARP,RPL11,0.4
TIPARP,XRN2,TIPARP,0.37
TIPARP,NCBP2,TIPARP,0.35
TIPIN,RPA2,TIPIN,0.67
TIPIN,TIPIN,RPA2,0.67
TIPIN,TIPIN,TIMELESS,0.59
TJP1,KIRREL1,TJP1,0.67
TKTL2,NFIC,TKTL2,0.37
TKTL2,PRCC,TKTL2,0.35
TKTL2,TKTL2,FBLN5,0.35
TKTL2,TKTL2,USP33,0.35
TKTL2,ZSWIM2,TKTL2,0.35
TLE1,DAZAP2,TLE1,0.67
TLE1,TLE1,DAZAP2,0.67
TLE1,TLE1,TLE1,0.62
TLE1,RUNX1,TLE1,0.59
TLE2,DDB1,TLE2,0.5
TLE2,TLE2,DDB1,0.5
TLE2,NUDC,TLE2,0.4
TLE2,EMX2,TLE2,0.37
TLE2,FOXA3,TLE2,0.37
TLE2,MSX1,TLE2,0.37
TLE2,MSX2,TLE2,0.37
TLE2,PAX9,TLE2,0.37
TLE2,TLE2,BARHL1,0.37
TLE2,TLE2,TLX3,0.37
TLE3,FOXQ1,TLE3,0.57
TLE3,CHERP,TLE3,0.56
TLE3,CSTF2,TLE3,0.56
TLE3,SIX1,TLE3,0.56
TLE4,NUP62,TLE4,0.56
TLE4,TLE4,NUP62,0.56
TLE4,EN1,TLE4,0.42
TLL2,BMP1,TLL2,0.35
TLR2,MYD88,TLR2,0.74
TLR2,TLR2,MYD88,0.74
TLR2,EGFR,TLR2,0.68
TLR2,TLR2,EGFR,0.68
TLR2,TLR2,TLR6,0.68
TLR2,TLR6,TLR2,0.68
TLR4,LY96,TLR4,0.82
TLR4,TLR4,LY96,0.82
TLR5,P05067-PRO_0000000092,TLR5,0.56
TLR5,P05067-PRO_0000000093,TLR5,0.56
TLR5,TLR5,P05067-PRO_0000000092,0.56
TLR5,TLR5,P05067-PRO_0000000093,0.56
TLR6,TLR2,TLR6,0.68
TLR6,TLR6,TLR2,0.68
TLR6,TLR6,TLR6,0.58
TLR6,TLR4,TLR6,0.5
TLR7,AARSD1,TLR7,0.4
TLR7,MLF1,TLR7,0.4
TLR7,PSMD2,TLR7,0.4
TLR7,SIGLEC5,TLR7,0.4
TLR7,SIGLEC9,TLR7,0.4
TLR7,TLR7,MLF2,0.4
TLR7,TLR7,TLR8,0.4
TLR9,RBMX,TLR9,0.4
TLR9,SIGLEC5,TLR9,0.4
TLX1,PBX2,TLX1,0.55
TLX1,TLX1,PBX2,0.55
TLX3,ccsb orf id: 100064146,TLX3,0.56
TLX3,ccsb orf id: 11745,TLX3,0.56
TLX3,ccsb orf id: 9453,TLX3,0.56
TLX3,CIMIP2B,TLX3,0.56
TLX3,CRX,TLX3,0.56
TLX3,CTNNA3,TLX3,0.56
TLX3,FAM168B,TLX3,0.56
TLX3,FOXH1,TLX3,0.56
TM4SF18,BNIP3,TM4SF18,0.56
TM4SF18,CLDN19,TM4SF18,0.56
TM4SF18,CLEC2D,TM4SF18,0.56
TM4SF18,CXCL9,TM4SF18,0.56
TM9SF1,P2RX7,TM9SF1,0.37
TM9SF1,TCOF1,TM9SF1,0.37
TM9SF1,TM9SF1,MTNR1A,0.37
TM9SF1,TM9SF1,RNASEH1,0.37
TM9SF1,ATP6V1A,TM9SF1,0.35
TM9SF1,CLEC2D,TM9SF1,0.35
TMBIM6,ODF4,TMBIM6,0.67
TMBIM6,RNF185,TMBIM6,0.67
TMBIM6,TMBIM6,ODF4,0.67
TMBIM6,TMBIM6,RNF185,0.67
TMEM128,TMEM128,GRB2,0.57
TMEM128,AQP6,TMEM128,0.56
TMEM128,ARL13B,TMEM128,0.56
TMEM128,BCL2L13,TMEM128,0.56
TMEM128,CD40,TMEM128,0.56
TMEM128,CD53,TMEM128,0.56
TMEM132C,MAP1LC3A,TMEM132C,0.44
TMEM132C,TMEM132C,PPP1CA,0.44
TMEM132C,TMEM132C,RPL19,0.4
TMEM132D,PPP1CA,TMEM132D,0.54
TMEM132D,TMEM132D,PPP1CA,0.54
TMEM147,CREB3L1,TMEM147,0.78
TMEM147,LDLRAD1,TMEM147,0.78
TMEM147,TMEM147,CREB3L1,0.78
TMEM160,EMP1,TMEM160,0.56
TMEM160,SLC16A13,TMEM160,0.56
TMEM160,TMEM160,EMP1,0.56
TMEM160,TMEM160,SLC16A13,0.56
TMEM160,KBTBD7,TMEM160,0.53
TMEM160,WLS,TMEM160,0.49
TMEM165,CFTR,TMEM165,0.48
TMEM165,AHSP,TMEM165,0.37
TMEM165,PROM1,TMEM165,0.37
TMEM165,REL,TMEM165,0.37
TMEM165,ADCK2,TMEM165,0.35
TMEM199,AQP6,TMEM199,0.56
TMEM199,BIK,TMEM199,0.56
TMEM199,EBP,TMEM199,0.56
TMEM199,ERLIN1,TMEM199,0.56
TMEM199,IFNGR2,TMEM199,0.56
TMEM199,KASH5,TMEM199,0.56
TMEM199,STX1A,TMEM199,0.56
TMEM199,STX4,TMEM199,0.56
TMEM201,EMD,TMEM201,0.68
TMEM201,TMEM201,EMD,0.68
TMEM201,ccsb orf id: 12141,TMEM201,0.56
TMEM201,ccsb orf id: 12395,TMEM201,0.56
TMEM201,CYB5R3,TMEM201,0.56
TMEM201,FRMD3,TMEM201,0.56
TMEM201,PTPN5,TMEM201,0.56
TMEM201,TMEM201,ccsb orf id: 12141,0.56
TMEM208,ccsb orf id: 2260,TMEM208,0.56
TMEM208,C10orf67,TMEM208,0.56
TMEM208,CREB3L1,TMEM208,0.56
TMEM208,EBP,TMEM208,0.56
TMEM208,FAM209A,TMEM208,0.56
TMEM208,GPR152,TMEM208,0.56
TMEM208,KCNJ6,TMEM208,0.56
TMEM208,MFSD14B,TMEM208,0.56
TMEM208,NDRG4,TMEM208,0.56
TMEM220,TMEM220,LRRC3B,0.56
TMEM220,TMEM220,TMEM14B,0.56
TMEM220,TMEM220,ACTA2,0.35
TMEM220,TMEM220,COX6B1,0.35
TMEM220,TMEM220,GAPDHS,0.35
TMEM220,TMEM220,PTPN11,0.35
TMEM243,ccsb orf id: 13502,TMEM243,0.56
TMEM243,AQP6,TMEM243,0.56
TMEM243,BIK,TMEM243,0.56
TMEM243,CD33,TMEM243,0.56
TMEM243,CD74,TMEM243,0.56
TMEM243,CD79A,TMEM243,0.56
TMEM243,CISD2,TMEM243,0.56
TMEM243,CLEC14A,TMEM243,0.56
TMEM243,CPLX4,TMEM243,0.56
TMEM253,RAPGEF5,TMEM253,0.37
TMEM253,TMEM253,TUBA1B,0.37
TMEM30A,ATP8B1,TMEM30A,0.88
TMEM30A,TMEM30A,ATP8B1,0.88
TMEM30A,ATP11A,TMEM30A,0.74
TMEM40,CFTR,TMEM40,0.63
TMEM40,CDK15,TMEM40,0.35
TMEM63A,EEF1D,TMEM63A,0.4
TMEM63A,TMEM63A,CCR2,0.37
TMEM63A,TMEM63A,CREB3,0.37
TMEM63A,TMEM63A,DRD2,0.37
TMEM63A,TMEM63A,GPR37,0.37
TMEM63A,ATP2B2,TMEM63A,0.35
TMEM63A,C3AR1,TMEM63A,0.35
TMEM63A,ENTREP1,TMEM63A,0.35
TMEM63A,HTR3A,TMEM63A,0.35
TMEM63A,LGALS8,TMEM63A,0.35
TMEM71,FAM3C,TMEM71,0.56
TMEM71,SEC22A,TMEM71,0.56
TMEM71,TCEA2,TMEM71,0.56
TMEM71,TMEM71,FAM3C,0.56
TMEM71,TMEM71,SEC22A,0.56
TMEM71,TMEM71,TMX2,0.56
TMPRSS11A,MYC,TMPRSS11A,0.35
TMPRSS11A,TMPRSS11A,ACADL,0.35
TMPRSS11A,TMPRSS11A,PAK4,0.35
TMPRSS11A,TMPRSS11A,PSG3,0.35
TMPRSS11A,TMPRSS11A,RSPRY1,0.35
TMPRSS11A,TMPRSS11A,TMEM11,0.35
TMPRSS11D,SGTA,TMPRSS11D,0.56
TMPRSS11D,TMPRSS11D,SGTA,0.56
TMPRSS11D,TMPRSS11D,MST1,0.44
TMPRSS13,LRRK2,TMPRSS13,0.35
TMPRSS13,MAPT,TMPRSS13,0.35
TMPRSS4,ERVFRD-1,TMPRSS4,0.56
TMPRSS4,BNIP3L,TMPRSS4,0.56
TMPRSS4,CLEC7A,TMPRSS4,0.56
TMPRSS4,CLRN1,TMPRSS4,0.56
TMPRSS4,FAM209A,TMPRSS4,0.56
TMPRSS4,FNDC9,TMPRSS4,0.56
TMPRSS4,GPX8,TMPRSS4,0.56
TMPRSS4,KASH5,TMPRSS4,0.56
TMSB4X,MLH1,TMSB4X,0.73
TMSB4X,TMSB4X,MLH1,0.73
TMTC2,CDH1,TMTC2,0.35
TMTC2,CUL3,TMTC2,0.35
TMTC2,PCDHB11,TMTC2,0.35
TMTC2,PCDHGB1,TMTC2,0.35
TMTC2,PTBP3,TMTC2,0.35
TMTC3,DAB1,TMTC3,0.56
TMTC3,TMTC3,DAB1,0.56
TMTC3,ANKRD12,TMTC3,0.4
TMTC3,CDH5,TMTC3,0.35
TMTC3,CHRND,TMTC3,0.35
TMTC3,DEFA5,TMTC3,0.35
TMTC3,HSCB,TMTC3,0.35
TMTC3,HTR3A,TMTC3,0.35
TMX3,CALR,TMX3,0.56
TMX3,ccsb_10679,TMX3,0.56
TMX3,DLST,TMX3,0.56
TMX3,FHL3,TMX3,0.56
TNC,COL5A1,TNC,0.51
TNC,TNC,COL5A1,0.51
TNFAIP6,FGF2,TNFAIP6,0.61
TNFAIP6,CXCL8,TNFAIP6,0.56
TNFAIP8,MED4,TNFAIP8,0.78
TNFAIP8,TNFAIP8,MED4,0.78
TNFAIP8,PRR13,TNFAIP8,0.72
TNFAIP8L3,SDCBP,TNFAIP8L3,0.56
TNFAIP8L3,TNFAIP8L3,CBY1,0.56
TNFRSF10A,CASP8,TNFRSF10A,0.76
TNFRSF10A,TNFRSF10A,CASP8,0.76
TNFRSF10A,TNFRSF10A,TNFSF10,0.72
TNFRSF11A,TNFRSF11A,O14788-PRO_0000034515,0.61
TNFRSF14,TNFRSF14,TNFSF14,0.74
TNFRSF14,TNFSF14,TNFRSF14,0.74
TNFRSF14,TNFRSF14,TRAF2,0.69
TNFRSF14,TRAF2,TNFRSF14,0.69
TNFRSF14,TNFRSF14,TRAF2,0.65
TNFRSF14,TNFRSF14,TRAF5,0.65
TNFRSF17,CMTM7,TNFRSF17,0.56
TNFRSF17,PEX16,TNFRSF17,0.56
TNFRSF17,TMBIM6,TNFRSF17,0.56
TNFRSF17,TNFRSF17,CMTM7,0.56
TNFRSF17,TNFRSF17,PEX16,0.56
TNFRSF1B,GRN,TNFRSF1B,0.64
TNFRSF1B,TNFRSF1B,GRN,0.64
TNFRSF1B,TNFRSF1B,TNF,0.61
TNFRSF1B,TNFRSF1B,TRAF2,0.57
TNFRSF1B,TRAF2,TNFRSF1B,0.57
TNFRSF8,TNFRSF8,TNFRSF8,0.44
TNFRSF8,TNFRSF8,TRAF2,0.44
TNFRSF8,BCL6,TNFRSF8,0.35
TNFRSF8,TNFRSF8,ATP6V1D,0.35
TNFRSF8,TNFRSF8,BLOC1S1,0.35
TNFSF10,TNFRSF10B,TNFSF10,0.95
TNFSF10,TNFSF10,TNFRSF10B,0.95
TNFSF13,TNFSF13,APP,0.56
TNFSF8,BMP10,TNFSF8,0.56
TNFSF8,CXCL9,TNFSF8,0.56
TNFSF8,TNFSF8,CXCL9,0.56
TNPO1,TNPO1,HNRNPM,0.62
TNPO1,TNPO1,FUS,0.56
TNPO1,TNPO1,HNRNPA1,0.56
TNPO1,NXF1,TNPO1,0.54
TNPO2,APIP,TNPO2,0.67
TNPO2,CAMK2D,TNPO2,0.67
TNPO2,EXOC5,TNPO2,0.67
TNPO2,TNPO2,APIP,0.67
TNPO2,TNPO2,CAMK2D,0.67
TNRC18,HDAC1,TNRC18,0.64
TNRC18,YAP1,TNRC18,0.44
TNRC18,TNRC18,H1-4,0.4
TNRC18,BECN1,TNRC18,0.37
TNRC18,BMI1,TNRC18,0.35
TNRC18,CAMKV,TNRC18,0.35
TNRC18,COPS7A,TNRC18,0.35
TNRC6A,AGO2,TNRC6A,0.95
TNRC6B,AGO2,TNRC6B,0.9
TNRC6B,TNRC6B,AGO2,0.9
TNS4,EGFR,TNS4,0.59
TNS4,TNS4,EGFR,0.59
TNS4,CYSRT1,TNS4,0.56
TNS4,HSF2BP,TNS4,0.56
TNS4,KAZN,TNS4,0.56
TNS4,PPP3CA,TNS4,0.56
TNS4,RABEP1,TNS4,0.56
TNS4,TNS4,CARD9,0.56
TOB1,CNOT7,TOB1,0.91
TOB1,TOB1,CNOT7,0.91
TOB1,TOB1,TARDBP,0.67
TONSL,ASF1B,TONSL,0.67
TONSL,TONSL,ASF1B,0.67
TONSL,H3C1,TONSL,0.61
TONSL,ASF1A,TONSL,0.53
TONSL,SSRP1,TONSL,0.53
TONSL,TONSL,ASF1A,0.53
TOR1B,TOR1AIP1,TOR1B,0.61
TOR1B,TOR1B,TOR1AIP1,0.61
TOR1B,TOR1B,TOR1AIP2,0.44
TOR1B,TOR1B,CFTR,0.37
TOR1B,ADPGK,TOR1B,0.35
TOR1B,CD1B,TOR1B,0.35
TP53,MDM2,TP53,0.99
TP53BP1,TP53,TP53BP1,0.88
TP53BP1,TP53BP1,TP53,0.88
TP53BP2,TP53,TP53BP2,0.9
TP53BP2,TP53BP2,TP53,0.9
TP53INP1,ccsb orf id: 11745,TP53INP1,0.6
TP53INP1,GABARAPL1,TP53INP1,0.6
TP53INP1,TP53INP1,ccsb orf id: 11745,0.6
TP53INP1,TP53INP1,GABARAPL1,0.6
TP63,TP63,TP63,0.77
TP63,TP63,TP73,0.7
TP73,TP73,TP73,0.82
TPM3,KXD1,TPM3,0.86
TPM3,TPM3,KXD1,0.86
TPM4,CFTR,TPM4,0.61
TPRG1,ccsb orf id: 9916,TPRG1,0.56
TPRG1,APOC1,TPRG1,0.56
TPRG1,APOC4,TPRG1,0.56
TPRG1,AQP6,TPRG1,0.56
TPRG1,EBAG9,TPRG1,0.56
TPRG1,MFSD14B,TPRG1,0.56
TPRG1,RHBDD2,TPRG1,0.56
TPRG1,SLC10A6,TPRG1,0.56
TPRG1,TPRG1,ccsb orf id: 9916,0.56
TPRG1L,MLH1,TPRG1L,0.37
TPSAB1,TPSAB1,TPSAB1,0.56
TPSAB1,NCK1,TPSAB1,0.4
TPSAB1,TPSAB1,PIK3R1,0.4
TPX2,AURKA,TPX2,0.85
TPX2,TPX2,AURKA,0.85
TPX2,GOLGA2,TPX2,0.72
TRAF1,TRAF1,TRAF6,0.91
TRAF2,BIRC2,TRAF2,0.95
TRAF3,MAP3K14,TRAF3,0.89
TRAF3IP3,EMD,TRAF3IP3,0.81
TRAF3IP3,TRAF3IP3,EMD,0.81
TRAF3IP3,FATE1,TRAF3IP3,0.72
TRAF5,TRAF5,TRAF6,0.88
TRAF5,TRAF6,TRAF5,0.88
TRAF6,TRAF6,TRAF6,0.92
TRAF7,MAP3K3,TRAF7,0.75
TRAF7,MAP3K2,TRAF7,0.53
TRAIP,MAPRE2,TRAIP,0.78
TRAIP,TRAIP,MAPRE2,0.78
TRAK1,RHOT1,TRAK1,0.7
TRAK1,TRAK1,RHOT1,0.7
TRAK1,OGT,TRAK1,0.62
TRAK1,RHOT2,TRAK1,0.62
TRAK1,TRAK1,OGT,0.62
TRAPPC2L,TRAPPC2L,TRAPPC3,0.84
TRAPPC2L,TRAPPC3,TRAPPC2L,0.84
TRAPPC2L,RAB3IP,TRAPPC2L,0.64
TRERF1,HDAC1,TRERF1,0.64
TRERF1,TRERF1,HDAC1,0.64
TRERF1,NEDD4,TRERF1,0.62
TRERF1,YAP1,TRERF1,0.62
TRERF1,ESRRG,TRERF1,0.56
TRHDE,SCHIP1,TRHDE,0.4
TRHDE,TRHDE,CKAP4,0.4
TRHDE,AKT1,TRHDE,0.35
TRHDE,TRHDE,CANX,0.35
TRHDE,TRHDE,DNAJB9,0.35
TRHDE,TRHDE,EMILIN2,0.35
TRHDE,TRHDE,FKBP14,0.35
TRHDE,TRHDE,KIRREL1,0.35
TRIB3,ATF4,TRIB3,0.9
TRIB3,TRIB3,ATF4,0.9
TRIM23,TBC1D22B,TRIM23,0.83
TRIM23,TRIM23,TBC1D22B,0.83
TRIM23,TRIM23,ZNF581,0.83
TRIM24,TRIM24,TRIM33,0.69
TRIM27,ARHGEF3,TRIM27,0.83
TRIM27,TRIM27,ARHGEF3,0.83
TRIM27,TRIM27,UBE2K,0.81
TRIM28,CBX5,TRIM28,0.87
TRIM28,TRIM28,CBX5,0.87
TRIM33,TRIM33,SMAD4,0.75
TRIM33,TRIM24,TRIM33,0.69
TRIM33,TRIM33,TRIM24,0.69
TRIM37,BYSL,TRIM37,0.78
TRIM37,TRIM37,BYSL,0.78
TRIM37,CWF19L2,TRIM37,0.72
TRIM48,NME7,TRIM48,0.56
TRIM48,TRIM48,NME7,0.56
TRIM51,MAGEA11,TRIM51,0.37
TRIM51,RNF40,TRIM51,0.37
TRIM51,SPRY2,TRIM51,0.37
TRIOBP,PPP1CB,TRIOBP,0.57
TRIOBP,CFTR,TRIOBP,0.48
TRIP11,YWHAH,TRIP11,0.61
TRIP11,YWHAG,TRIP11,0.48
TRIP11,EPHA6,TRIP11,0.42
TRIP11,40038273,TRIP11,0.4
TRIP11,HLA-B,TRIP11,0.4
TRIP12,TRIP12,MYC,0.63
TRIP12,TRIP12,CDKN2A,0.6
TRIP13,ARSA,TRIP13,0.9
TRMT10B,OTX2,TRMT10B,0.56
TRMT10B,TRMT10B,ccsb_9919,0.56
TRMT10B,TRMT10B,OTX2,0.56
TRMT10B,TRMT10B,NPM1,0.4
TRMT10B,TRIM55,TRMT10B,0.37
TRMT10B,TRIM63,TRMT10B,0.37
TRMT10B,TRMT10B,MEIS1,0.37
TRMT10C,HSD17B10,TRMT10C,0.83
TRMT44,CCNJL,TRMT44,0.35
TRMT44,F9,TRMT44,0.35
TRMT44,IL12RB1,TRMT44,0.35
TRMT44,LOC554223,TRMT44,0.35
TRMT44,LYPD4,TRMT44,0.35
TRMT44,MUC20,TRMT44,0.35
TRMT44,P4HA2,TRMT44,0.35
TRMT44,PLA2G10,TRMT44,0.35
TRMT44,PRKAB1,TRMT44,0.35
TRPA1,TRPA1,TRPA1,0.52
TRPA1,TRPA1,HUWE1,0.4
TRPC6,MX1,TRPC6,0.58
TRPC6,TRPC6,MX1,0.58
TRPC6,ITPR3,TRPC6,0.4
TRPC7,TRPC7,MX1,0.4
TRPM1,FXR1,TRPM1,0.56
TRPM1,TRPM1,FXR1,0.56
TRPM1,TRPM1,H3-4,0.4
TRPM1,TRPM1,H2BC9,0.4
TRPM1,MYC,TRPM1,0.35
TRPM2,TRPM2,TRPM2,0.36
TRPM2,PPP1R12A,TRPM2,0.35
TRPM3,AKAP17A,TRPM3,0.35
TRPM3,CHCHD10,TRPM3,0.35
TRPM3,OSM,TRPM3,0.35
TRPM3,PHC1,TRPM3,0.35
TRPM3,ZRSR2,TRPM3,0.35
TRPS1,ESR1,TRPS1,0.56
TRPS1,RNF4,TRPS1,0.52
TRPS1,CTBP1,TRPS1,0.48
TRPV5,CALB1,TRPV5,0.46
TRPV5,TRPV5,CALB1,0.46
TRPV5,USF2,TRPV5,0.4
TRPV5,EWSR1,TRPV5,0.37
TRPV6,PTPN1,TRPV6,0.74
TRPV6,TRPV6,PTPN1,0.74
TRRAP,MYC,TRRAP,0.85
TRRAP,TRRAP,MYC,0.85
TSC1,TSC1,TSC2,0.93
TSC1,TSC2,TSC1,0.93
TSC2,TSC2,YWHAB,0.94
TSC2,YWHAB,TSC2,0.94
TSC22D1,NTAQ1,TSC22D1,0.67
TSC22D1,TSC22D1,NTAQ1,0.67
TSC22D1,TPT1,TSC22D1,0.59
TSC22D1,TSC22D1,TPT1,0.59
TSC22D1,APP,TSC22D1,0.56
TSHR,SCRIB,TSHR,0.58
TSHR,TSHR,SCRIB,0.58
TSHR,ADORA1,TSHR,0.51
TSHR,MID1IP1,TSHR,0.51
TSHR,SYT1,TSHR,0.51
TSHR,TSHR,ADORA1,0.51
TSHR,TSHR,MID1IP1,0.51
TSHR,TSHR,SYT1,0.51
TSHZ2,BACH2,TSHZ2,0.56
TSHZ2,CCDC57,TSHZ2,0.56
TSHZ2,CCDC88B,TSHZ2,0.56
TSHZ2,CNTROB,TSHZ2,0.56
TSHZ2,COG3,TSHZ2,0.56
TSHZ2,CRACR2B,TSHZ2,0.56
TSHZ2,GIGYF1,TSHZ2,0.56
TSHZ2,GOLGA2,TSHZ2,0.56
TSHZ2,GRIPAP1,TSHZ2,0.56
TSHZ2,MCC,TSHZ2,0.56
TSHZ3,TFIP11,TSHZ3,0.78
TSHZ3,TSHZ3,TFIP11,0.78
TSHZ3,CTBP2,TSHZ3,0.72
TSPAN18,CD151,TSPAN18,0.56
TSPAN18,CXCL9,TSPAN18,0.56
TSPAN18,GIMAP5,TSPAN18,0.56
TSPAN18,GRM2,TSPAN18,0.56
TSPYL2,CSNK2A1,TSPYL2,0.67
TSPYL2,NOP53,TSPYL2,0.67
TSPYL2,TSPYL2,NOP53,0.67
TSPYL2,TSPYL2,ZNF687,0.67
TSPYL4,CDK5RAP3,TSPYL4,0.72
TSPYL4,TRIM38,TSPYL4,0.72
TSPYL4,TSPYL4,CDK5RAP3,0.72
TSPYL4,TSPYL4,TRIM38,0.72
TTBK2,KLHL12,TTBK2,0.72
TTBK2,TTBK2,KLHL12,0.72
TTBK2,CEP164,TTBK2,0.58
TTBK2,TTBK2,CEP164,0.58
TTC21B,TTC21B,TULP3,0.73
TTC21B,TULP3,TTC21B,0.73
TTC21B,IFT122,TTC21B,0.7
TTC21B,TTC21B,IFT122,0.7
TTC4,HSP90AB1,TTC4,0.68
TTC4,TTC4,HSP90AB1,0.68
TTC4,SNAPC3,TTC4,0.56
TTC4,TTC4,SNAPC3,0.56
TTC4,TBK1,TTC4,0.54
TTLL5,NRIP1,TTLL5,0.37
TTLL5,TTLL5,CDKN1A,0.37
TTLL5,TTLL5,FXR1,0.37
TTLL5,CACNG5,TTLL5,0.35
TTLL9,TTLL9,CCT2,0.35
TTLL9,TTLL9,CCT3,0.35
TTLL9,TTLL9,CCT6B,0.35
TTLL9,TTLL9,LACRT,0.35
TTLL9,TTLL9,TCP1,0.35
TUBA1C,TPT1,TUBA1C,0.57
TUBA1C,LAMP2,TUBA1C,0.56
TUBA1C,PRPF40A,TUBA1C,0.56
TUBA3C,TUBA3C,NMI,0.51
TUBA3C,CLIP1,TUBA3C,0.44
TUBA3C,TUBA3C,DCTN1,0.44
TUBA3C,CHUK,TUBA3C,0.4
TUBGCP6,LGALS3BP,TUBGCP6,0.53
TUBGCP6,MZT1,TUBGCP6,0.53
TUSC3,TUSC3,PPP1CA,0.37
TUSC3,CHRND,TUSC3,0.35
TUSC3,GABRA3,TUSC3,0.35
TUSC3,GABRD,TUSC3,0.35
TUSC3,HTR3A,TUSC3,0.35
TUSC3,HTR3C,TUSC3,0.35
TWIST1,TP53,TWIST1,0.82
TWIST1,TWIST1,TP53,0.82
TWNK,TWNK,LGALS3BP,0.4
TXNIP,TXN,TXNIP,0.74
TXNIP,TXNIP,TXN,0.74
TXNIP,ECD,TXNIP,0.59
TYRO3,KRTAP5-9,TYRO3,0.74
TYRO3,TYRO3,KRTAP5-9,0.74
TYRO3,GRB2,TYRO3,0.67
TYRO3,TYRO3,GRB2,0.67
TYRO3,ccsb orf id: 14249,TYRO3,0.56
TYRP1,SEC22A,TYRP1,0.56
TYSND1,TYSND1,TYSND1,0.58
TYSND1,CAT,TYSND1,0.55
TYW1B,TAS2R19,TYW1B,0.56
TYW1B,ARL15,TYW1B,0.35
TYW1B,CDKAL1,TYW1B,0.35
TYW1B,EDNRB,TYW1B,0.35
