Gene,MoleculeA,MoleculeB,Intact_Miscore
SPATA18,GAS8,SPATA18,0.56
SPATA18,GOLGA2,SPATA18,0.56
SPATA18,HOXA1,SPATA18,0.56
SPATA18,LRIF1,SPATA18,0.56
SPATA18,PIBF1,SPATA18,0.56
SPATA18,SPATA18,AIMP2,0.56
SPATA19,SPATA19,MFF,0.35
SPATA19,SPATA19,MTHFR,0.35
SPATA19,SPATA19,RHEB,0.35
SPATA19,SPATA19,RSPRY1,0.35
SPATA19,SPATA19,VDAC3,0.35
SPATA5L1,CINP,SPATA5L1,0.35
SPATA5L1,DKKL1,SPATA5L1,0.35
SPATA5L1,FAS,SPATA5L1,0.35
SPATA6,AP1M1,SPATA6,0.56
SPATA6,CARD9,SPATA6,0.56
SPATA6,DDX6,SPATA6,0.56
SPATA6,GEM,SPATA6,0.56
SPATC1L,FSD2,SPATC1L,0.6
SPATC1L,SPATC1L,FSD2,0.6
SPATC1L,a0a024r8l2_human,SPATC1L,0.56
SPATC1L,ACOT7,SPATC1L,0.56
SPHK1,SPHK1,SPHKAP,0.6
SPHK1,SPHKAP,SPHK1,0.6
SPHKAP,SPHK1,SPHKAP,0.6
SPHKAP,SPHKAP,SPHK1,0.6
SPHKAP,ccsb orf id: 100080275,SPHKAP,0.56
SPI1,GATA2,SPI1,0.64
SPI1,SPI1,GATA2,0.64
SPI1,PML-RAR,SPI1,0.54
SPIB,HTT,SPIB,0.56
SPOP,MYD88,SPOP,0.79
SPOP,SPOP,MYD88,0.79
SPOP,DAXX,SPOP,0.69
SPOP,SPOP,DAXX,0.69
SPRED1,PPP1CA,SPRED1,0.74
SPRED1,SPRED1,PPP1CA,0.74
SPRED1,CREB5,SPRED1,0.72
SPRTN,KPNA4,SPRTN,0.4
SPRTN,RANBP3L,SPRTN,0.4
SPRTN,SPRTN,ENTREP1,0.37
SPRTN,CCDC102B,SPRTN,0.35
SPRTN,EMC2,SPRTN,0.35
SPRTN,GSTT1,SPRTN,0.35
SPRTN,SPRTN,BCL7C,0.35
SPRTN,SPRTN,BRAP,0.35
SPRY3,AQP1,SPRY3,0.56
SPRY3,BEX2,SPRY3,0.56
SPRY3,CATSPER1,SPRY3,0.56
SPRY3,CHRD,SPRY3,0.56
SPRY3,CREB5,SPRY3,0.56
SPTA1,SPTA1,SPTB,0.72
SPTA1,SPTB,SPTA1,0.72
